year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,candidatevotes,totalvotes,% of Total Votes,Rank,President
1984,Michigan,MI,26,34,23,US President,"Reagan, Ronald",republican,"2,251,571","3,801,658",59.23%,1,YES
1984,Michigan,MI,26,34,23,US President,"Mondale, Walter",democrat,"1,529,638","3,801,658",40.24%,2,NO
1984,Minnesota,MN,27,41,33,US President,"Mondale, Walter",democrat,"1,036,364","2,084,449",49.72%,1,NO
1984,Minnesota,MN,27,41,33,US President,"Reagan, Ronald",republican,"1,032,603","2,084,449",49.54%,2,YES
1984,Mississippi,MS,28,64,46,US President,"Reagan, Ronald",republican,"582,377","941,104",61.88%,1,YES
1984,Mississippi,MS,28,64,46,US President,"Mondale, Walter",democrat,"352,192","941,104",37.42%,2,NO
1984,Missouri,MO,29,43,34,US President,"Reagan, Ronald",republican,"1,274,188","2,122,771",60.02%,1,YES
1984,Missouri,MO,29,43,34,US President,"Mondale, Walter",democrat,"848,583","2,122,771",39.98%,2,NO
1984,Montana,MT,30,81,64,US President,"Reagan, Ronald",republican,"232,450","384,377",60.47%,1,YES
1984,Montana,MT,30,81,64,US President,"Mondale, Walter",democrat,"146,742","384,377",38.18%,2,NO
1984,Nebraska,NE,31,46,35,US President,"Reagan, Ronald",republican,"460,054","652,090",70.55%,1,YES
1984,Nebraska,NE,31,46,35,US President,"Mondale, Walter",democrat,"187,866","652,090",28.81%,2,NO
1984,Nevada,NV,32,88,65,US President,"Reagan, Ronald",republican,"188,770","282,717",66.77%,1,YES
1984,Nevada,NV,32,88,65,US President,"Mondale, Walter",democrat,"91,655","282,717",32.42%,2,NO
1984,New Hampshire,NH,33,12,4,US President,"Reagan, Ronald",republican,"267,050","388,904",68.67%,1,YES
1984,New Hampshire,NH,33,12,4,US President,"Mondale, Walter",democrat,"120,347","388,904",30.95%,2,NO
1984,New Jersey,NJ,34,22,12,US President,"Reagan, Ronald",republican,"1,933,630","3,217,862",60.09%,1,YES
1984,New Jersey,NJ,34,22,12,US President,"Mondale, Walter",democrat,"1,261,323","3,217,862",39.20%,2,NO
1984,New Mexico,NM,35,85,66,US President,"Reagan, Ronald",republican,"307,101","514,370",59.70%,1,YES
1984,New Mexico,NM,35,85,66,US President,"Mondale, Walter",democrat,"201,769","514,370",39.23%,2,NO
1984,New York,NY,36,21,13,US President,"Reagan, Ronald",republican,"3,376,519","6,806,810",49.61%,1,YES
1984,New York,NY,36,21,13,US President,"Mondale, Walter",democrat,"3,001,285","6,806,810",44.09%,2,NO
1984,New York,NY,36,21,13,US President,"Reagan, Ronald",conservative,"288,244","6,806,810",4.23%,2,YES
1984,New York,NY,36,21,13,US President,"Mondale, Walter",liberal party,"118,324","6,806,810",1.74%,2,NO
1984,North Carolina,NC,37,56,47,US President,"Reagan, Ronald",republican,"1,346,481","2,175,361",61.90%,1,YES
1984,North Carolina,NC,37,56,47,US President,"Mondale, Walter",democrat,"824,287","2,175,361",37.89%,2,NO
1984,North Dakota,ND,38,44,36,US President,"Reagan, Ronald",republican,"200,336","308,971",64.84%,1,YES
1984,North Dakota,ND,38,44,36,US President,"Mondale, Walter",democrat,"104,429","308,971",33.80%,2,NO
1984,Ohio,OH,39,31,24,US President,"Reagan, Ronald",republican,"2,678,559","4,563,235",58.70%,1,YES
1984,Ohio,OH,39,31,24,US President,"Mondale, Walter",democrat,"1,825,440","4,563,235",40.00%,2,NO
1984,Oklahoma,OK,40,73,53,US President,"Reagan, Ronald",republican,"861,530","1,255,676",68.61%,1,YES
1984,Oklahoma,OK,40,73,53,US President,"Mondale, Walter",democrat,"385,080","1,255,676",30.67%,2,NO
1984,Oregon,OR,41,92,72,US President,"Reagan, Ronald",republican,"685,700","1,226,527",55.91%,1,YES
1984,Oregon,OR,41,92,72,US President,"Mondale, Walter",democrat,"536,479","1,226,527",43.74%,2,NO
1984,Pennsylvania,PA,42,23,14,US President,"Reagan, Ronald",republican,"2,584,323","4,844,903",53.34%,1,YES
1984,Pennsylvania,PA,42,23,14,US President,"Mondale, Walter",democrat,"2,228,131","4,844,903",45.99%,2,NO
1984,Rhode Island,RI,44,15,5,US President,"Reagan, Ronald",republican,"212,080","410,489",51.67%,1,YES
1984,Rhode Island,RI,44,15,5,US President,"Mondale, Walter",democrat,"197,106","410,489",48.02%,2,NO
1984,South Carolina,SC,45,57,48,US President,"Reagan, Ronald",republican,"615,539","968,529",63.55%,1,YES
1984,South Carolina,SC,45,57,48,US President,"Mondale, Walter",democrat,"344,459","968,529",35.57%,2,NO
1984,South Dakota,SD,46,45,37,US President,"Reagan, Ronald",republican,"200,267","317,867",63.00%,1,YES
1984,South Dakota,SD,46,45,37,US President,"Mondale, Walter",democrat,"116,113","317,867",36.53%,2,NO
1984,Tennessee,TN,47,62,54,US President,"Reagan, Ronald",republican,"990,212","1,711,993",57.84%,1,YES
1984,Tennessee,TN,47,62,54,US President,"Mondale, Walter",democrat,"711,714","1,711,993",41.57%,2,NO
1984,Texas,TX,48,74,49,US President,"Reagan, Ronald",republican,"3,433,428","5,397,571",63.61%,1,YES
1984,Texas,TX,48,74,49,US President,"Mondale, Walter",democrat,"1,949,276","5,397,571",36.11%,2,NO
1984,Utah,UT,49,87,67,US President,"Reagan, Ronald",republican,"469,105","629,656",74.50%,1,YES
1984,Utah,UT,49,87,67,US President,"Mondale, Walter",democrat,"155,369","629,656",24.68%,2,NO
1984,Vermont,VT,50,13,6,US President,"Reagan, Ronald",republican,"135,865","234,561",57.92%,1,YES
1984,Vermont,VT,50,13,6,US President,"Mondale, Walter",democrat,"95,730","234,561",40.81%,2,NO
1984,Virginia,VA,51,54,40,US President,"Reagan, Ronald",republican,"1,337,078","2,146,635",62.29%,1,YES
1984,Virginia,VA,51,54,40,US President,"Mondale, Walter",democrat,"796,250","2,146,635",37.09%,2,NO
1984,Washington,WA,53,91,73,US President,"Reagan, Ronald",republican,"1,051,670","1,874,910",56.09%,1,YES
1984,Washington,WA,53,91,73,US President,"Mondale, Walter",democrat,"798,352","1,874,910",42.58%,2,NO
1984,West Virginia,WV,54,55,56,US President,"Reagan, Ronald",republican,"405,483","735,742",55.11%,1,YES
1984,West Virginia,WV,54,55,56,US President,"Mondale, Walter",democrat,"328,125","735,742",44.60%,2,NO
1984,Wisconsin,WI,55,35,25,US President,"Reagan, Ronald",republican,"1,198,584","2,211,689",54.19%,1,YES
1984,Wisconsin,WI,55,35,25,US President,"Mondale, Walter",democrat,"995,740","2,211,689",45.02%,2,NO
1984,Wyoming,WY,56,83,68,US President,"Reagan, Ronald",republican,"133,241","188,968",70.51%,1,YES
1984,Wyoming,WY,56,83,68,US President,"Mondale, Walter",democrat,"53,370","188,968",28.24%,2,NO
1988,Alabama,AL,1,63,41,US President,"Bush, George H.W.",republican,"815,576","1,378,476",59.17%,1,YES
1988,Alabama,AL,1,63,41,US President,"Dukakis, Michael",democrat,"549,506","1,378,476",39.86%,2,NO
1988,Alaska,AK,2,94,81,US President,"Bush, George H.W.",republican,"119,251","200,116",59.59%,1,YES
1988,Alaska,AK,2,94,81,US President,"Dukakis, Michael",democrat,"72,584","200,116",36.27%,2,NO
1988,Arizona,AZ,4,86,61,US President,"Bush, George H.W.",republican,"702,541","1,171,873",59.95%,1,YES
1988,Arizona,AZ,4,86,61,US President,"Dukakis, Michael",democrat,"454,029","1,171,873",38.74%,2,NO
1988,Arkansas,AR,5,71,42,US President,"Bush, George H.W.",republican,"466,578","827,738",56.37%,1,YES
1988,Arkansas,AR,5,71,42,US President,"Dukakis, Michael",democrat,"349,237","827,738",42.19%,2,NO
1988,California,CA,6,93,71,US President,"Bush, George H.W.",republican,"5,054,917","9,887,065",51.13%,1,YES
1988,California,CA,6,93,71,US President,"Dukakis, Michael",democrat,"4,702,233","9,887,065",47.56%,2,NO
1988,Colorado,CO,8,84,62,US President,"Bush, George H.W.",republican,"728,177","1,372,394",53.06%,1,YES
1988,Colorado,CO,8,84,62,US President,"Dukakis, Michael",democrat,"621,453","1,372,394",45.28%,2,NO
1988,Connecticut,CT,9,16,1,US President,"Bush, George H.W.",republican,"750,241","1,443,394",51.98%,1,YES
1988,Connecticut,CT,9,16,1,US President,"Dukakis, Michael",democrat,"676,584","1,443,394",46.87%,2,NO
1988,Delaware,DE,10,51,11,US President,"Bush, George H.W.",republican,"139,639","249,891",55.88%,1,YES
1988,Delaware,DE,10,51,11,US President,"Dukakis, Michael",democrat,"108,647","249,891",43.48%,2,NO
1988,District of Columbia,DC,11,53,55,US President,"Dukakis, Michael",democrat,"159,407","192,877",82.65%,1,NO
1988,District of Columbia,DC,11,53,55,US President,"Bush, George H.W.",republican,"27,590","192,877",14.30%,2,YES
1988,Florida,FL,12,59,43,US President,"Bush, George H.W.",republican,"2,618,885","4,302,313",60.87%,1,YES
1988,Florida,FL,12,59,43,US President,"Dukakis, Michael",democrat,"1,656,701","4,302,313",38.51%,2,NO
1988,Georgia,GA,13,58,44,US President,"Bush, George H.W.",republican,"1,081,331","1,809,672",59.75%,1,YES
1988,Georgia,GA,13,58,44,US President,"Dukakis, Michael",democrat,"714,792","1,809,672",39.50%,2,NO
1988,Hawaii,HI,15,95,82,US President,"Dukakis, Michael",democrat,"192,364","354,461",54.27%,1,NO
1988,Hawaii,HI,15,95,82,US President,"Bush, George H.W.",republican,"158,625","354,461",44.75%,2,YES
1988,Idaho,ID,16,82,63,US President,"Bush, George H.W.",republican,"253,881","408,968",62.08%,1,YES
1988,Idaho,ID,16,82,63,US President,"Dukakis, Michael",democrat,"147,272","408,968",36.01%,2,NO
1988,Illinois,IL,17,33,21,US President,"Bush, George H.W.",republican,"2,310,939","4,559,120",50.69%,1,YES
1988,Illinois,IL,17,33,21,US President,"Dukakis, Michael",democrat,"2,215,940","4,559,120",48.60%,2,NO
1988,Indiana,IN,18,32,22,US President,"Bush, George H.W.",republican,"1,297,763","2,168,621",59.84%,1,YES
1988,Indiana,IN,18,32,22,US President,"Dukakis, Michael",democrat,"860,643","2,168,621",39.69%,2,NO
1988,Iowa,IA,19,42,31,US President,"Dukakis, Michael",democrat,"670,557","1,225,614",54.71%,1,NO
1988,Iowa,IA,19,42,31,US President,"Bush, George H.W.",republican,"545,355","1,225,614",44.50%,2,YES
1988,Kansas,KS,20,47,32,US President,"Bush, George H.W.",republican,"554,049","993,044",55.79%,1,YES
1988,Kansas,KS,20,47,32,US President,"Dukakis, Michael",democrat,"422,636","993,044",42.56%,2,NO
1988,Kentucky,KY,21,61,51,US President,"Bush, George H.W.",republican,"734,281","1,322,517",55.52%,1,YES
1988,Kentucky,KY,21,61,51,US President,"Dukakis, Michael",democrat,"580,368","1,322,517",43.88%,2,NO
1988,Louisiana,LA,22,72,45,US President,"Bush, George H.W.",republican,"883,702","1,628,202",54.27%,1,YES
1988,Louisiana,LA,22,72,45,US President,"Dukakis, Michael",democrat,"717,460","1,628,202",44.06%,2,NO
1988,Maine,ME,23,11,2,US President,"Bush, George H.W.",republican,"307,131","555,035",55.34%,1,YES
1988,Maine,ME,23,11,2,US President,"Dukakis, Michael",democrat,"243,569","555,035",43.88%,2,NO
1988,Maryland,MD,24,52,52,US President,"Bush, George H.W.",republican,"876,167","1,714,358",51.11%,1,YES
1988,Maryland,MD,24,52,52,US President,"Dukakis, Michael",democrat,"826,304","1,714,358",48.20%,2,NO
1988,Massachusetts,MA,25,14,3,US President,"Dukakis, Michael",democrat,"1,401,415","2,632,801",53.23%,1,NO
1988,Massachusetts,MA,25,14,3,US President,"Bush, George H.W.",republican,"1,194,635","2,632,801",45.38%,2,YES
1988,Michigan,MI,26,34,23,US President,"Bush, George H.W.",republican,"1,965,486","3,669,163",53.57%,1,YES
1988,Michigan,MI,26,34,23,US President,"Dukakis, Michael",democrat,"1,675,783","3,669,163",45.67%,2,NO
1988,Minnesota,MN,27,41,33,US President,"Dukakis, Michael",democrat,"1,109,471","2,096,790",52.91%,1,NO
1988,Minnesota,MN,27,41,33,US President,"Bush, George H.W.",republican,"962,337","2,096,790",45.90%,2,YES
1988,Mississippi,MS,28,64,46,US President,"Bush, George H.W.",republican,"557,890","931,527",59.89%,1,YES
1988,Mississippi,MS,28,64,46,US President,"Dukakis, Michael",democrat,"363,921","931,527",39.07%,2,NO
1988,Missouri,MO,29,43,34,US President,"Bush, George H.W.",republican,"1,084,953","2,093,228",51.83%,1,YES
1988,Missouri,MO,29,43,34,US President,"Dukakis, Michael",democrat,"1,001,619","2,093,228",47.85%,2,NO
1988,Montana,MT,30,81,64,US President,"Bush, George H.W.",republican,"190,412","365,674",52.07%,1,YES
1988,Montana,MT,30,81,64,US President,"Dukakis, Michael",democrat,"168,936","365,674",46.20%,2,NO
1988,Nebraska,NE,31,46,35,US President,"Bush, George H.W.",republican,"397,956","661,465",60.16%,1,YES
1988,Nebraska,NE,31,46,35,US President,"Dukakis, Michael",democrat,"259,235","661,465",39.19%,2,NO
1988,Nevada,NV,32,88,65,US President,"Bush, George H.W.",republican,"206,040","343,133",60.05%,1,YES
1988,Nevada,NV,32,88,65,US President,"Dukakis, Michael",democrat,"132,738","343,133",38.68%,2,NO
1988,New Hampshire,NH,33,12,4,US President,"Bush, George H.W.",republican,"281,537","450,525",62.49%,1,YES
1988,New Hampshire,NH,33,12,4,US President,"Dukakis, Michael",democrat,"163,696","450,525",36.33%,2,NO
1988,New Jersey,NJ,34,22,12,US President,"Bush, George H.W.",republican,"1,743,192","3,099,553",56.24%,1,YES
1988,New Jersey,NJ,34,22,12,US President,"Dukakis, Michael",democrat,"1,320,352","3,099,553",42.60%,2,NO
1988,New Mexico,NM,35,85,66,US President,"Bush, George H.W.",republican,"270,341","521,387",51.85%,1,YES
1988,New Mexico,NM,35,85,66,US President,"Dukakis, Michael",democrat,"244,497","521,387",46.89%,2,NO
1988,New York,NY,36,21,13,US President,"Dukakis, Michael",democrat,"3,255,487","6,485,683",50.19%,1,NO
1988,New York,NY,36,21,13,US President,"Bush, George H.W.",republican,"2,838,414","6,485,683",43.76%,2,YES
1988,New York,NY,36,21,13,US President,"Bush, George H.W.",conservative,"243,457","6,485,683",3.75%,2,YES
1988,New York,NY,36,21,13,US President,"Dukakis, Michael",liberal party,"92,395","6,485,683",1.42%,2,NO
1988,North Carolina,NC,37,56,47,US President,"Bush, George H.W.",republican,"1,237,258","2,134,370",57.97%,1,YES
1988,North Carolina,NC,37,56,47,US President,"Dukakis, Michael",democrat,"890,167","2,134,370",41.71%,2,NO
1988,North Dakota,ND,38,44,36,US President,"Bush, George H.W.",republican,"166,559","297,261",56.03%,1,YES
1988,North Dakota,ND,38,44,36,US President,"Dukakis, Michael",democrat,"127,739","297,261",42.97%,2,NO
1988,Ohio,OH,39,31,24,US President,"Bush, George H.W.",republican,"2,416,549","4,393,585",55.00%,1,YES
1988,Ohio,OH,39,31,24,US President,"Dukakis, Michael",democrat,"1,939,629","4,393,585",44.15%,2,NO
1988,Oklahoma,OK,40,73,53,US President,"Bush, George H.W.",republican,"678,367","1,171,036",57.93%,1,YES
1988,Oklahoma,OK,40,73,53,US President,"Dukakis, Michael",democrat,"483,423","1,171,036",41.28%,2,NO
1988,Oregon,OR,41,92,72,US President,"Dukakis, Michael",democrat,"616,206","1,201,694",51.28%,1,NO
1988,Oregon,OR,41,92,72,US President,"Bush, George H.W.",republican,"560,126","1,201,694",46.61%,2,YES
1988,Pennsylvania,PA,42,23,14,US President,"Bush, George H.W.",republican,"2,300,087","4,536,251",50.70%,1,YES
1988,Pennsylvania,PA,42,23,14,US President,"Dukakis, Michael",democrat,"2,194,944","4,536,251",48.39%,2,NO
1988,Rhode Island,RI,44,15,5,US President,"Dukakis, Michael",democrat,"225,123","404,622",55.64%,1,NO
1988,Rhode Island,RI,44,15,5,US President,"Bush, George H.W.",republican,"177,761","404,622",43.93%,2,YES
1988,South Carolina,SC,45,57,48,US President,"Bush, George H.W.",republican,"606,443","986,009",61.50%,1,YES
1988,South Carolina,SC,45,57,48,US President,"Dukakis, Michael",democrat,"370,554","986,009",37.58%,2,NO
1988,South Dakota,SD,46,45,37,US President,"Bush, George H.W.",republican,"165,415","312,991",52.85%,1,YES
1988,South Dakota,SD,46,45,37,US President,"Dukakis, Michael",democrat,"145,560","312,991",46.51%,2,NO
1988,Tennessee,TN,47,62,54,US President,"Bush, George H.W.",republican,"947,233","1,636,250",57.89%,1,YES
1988,Tennessee,TN,47,62,54,US President,"Dukakis, Michael",democrat,"679,794","1,636,250",41.55%,2,NO
1988,Texas,TX,48,74,49,US President,"Bush, George H.W.",republican,"3,036,829","5,427,410",55.95%,1,YES
1988,Texas,TX,48,74,49,US President,"Dukakis, Michael",democrat,"2,352,748","5,427,410",43.35%,2,NO
1988,Utah,UT,49,87,67,US President,"Bush, George H.W.",republican,"428,442","647,008",66.22%,1,YES
1988,Utah,UT,49,87,67,US President,"Dukakis, Michael",democrat,"207,343","647,008",32.05%,2,NO
1988,Vermont,VT,50,13,6,US President,"Bush, George H.W.",republican,"124,331","243,328",51.10%,1,YES
1988,Vermont,VT,50,13,6,US President,"Dukakis, Michael",democrat,"115,775","243,328",47.58%,2,NO
1988,Virginia,VA,51,54,40,US President,"Bush, George H.W.",republican,"1,309,162","2,191,609",59.74%,1,YES
1988,Virginia,VA,51,54,40,US President,"Dukakis, Michael",democrat,"859,799","2,191,609",39.23%,2,NO
1988,Washington,WA,53,91,73,US President,"Dukakis, Michael",democrat,"933,516","1,865,253",50.05%,1,NO
1988,Washington,WA,53,91,73,US President,"Bush, George H.W.",republican,"903,835","1,865,253",48.46%,2,YES
1988,West Virginia,WV,54,55,56,US President,"Dukakis, Michael",democrat,"341,016","653,311",52.20%,1,NO
1988,West Virginia,WV,54,55,56,US President,"Bush, George H.W.",republican,"310,065","653,311",47.46%,2,YES
1988,Wisconsin,WI,55,35,25,US President,"Dukakis, Michael",democrat,"1,126,794","2,191,608",51.41%,1,NO
1988,Wisconsin,WI,55,35,25,US President,"Bush, George H.W.",republican,"1,047,499","2,191,608",47.80%,2,YES
1988,Wyoming,WY,56,83,68,US President,"Bush, George H.W.",republican,"106,867","176,551",60.53%,1,YES
1988,Wyoming,WY,56,83,68,US President,"Dukakis, Michael",democrat,"67,113","176,551",38.01%,2,NO
1992,Alabama,AL,1,63,41,US President,"Bush, George H.W.",republican,"804,283","1,688,060",47.65%,1,NO
1992,Alabama,AL,1,63,41,US President,"Clinton, Bill",democrat,"690,080","1,688,060",40.88%,2,YES
1992,Alaska,AK,2,94,81,US President,"Bush, George H.W.",republican,"102,000","258,506",39.46%,1,NO
1992,Alaska,AK,2,94,81,US President,"Clinton, Bill",democrat,"78,294","258,506",30.29%,2,YES
1992,Arizona,AZ,4,86,61,US President,"Bush, George H.W.",republican,"572,086","1,486,975",38.47%,1,NO
1992,Arizona,AZ,4,86,61,US President,"Clinton, Bill",democrat,"543,050","1,486,975",36.52%,2,YES
1992,Arkansas,AR,5,71,42,US President,"Clinton, Bill",democrat,"505,823","950,653",53.21%,1,YES
1992,Arkansas,AR,5,71,42,US President,"Bush, George H.W.",republican,"337,324","950,653",35.48%,2,NO
1992,California,CA,6,93,71,US President,"Clinton, Bill",democrat,"5,121,325","11,131,721",46.01%,1,YES
1992,California,CA,6,93,71,US President,"Bush, George H.W.",republican,"3,630,574","11,131,721",32.61%,2,NO
1992,Colorado,CO,8,84,62,US President,"Clinton, Bill",democrat,"629,681","1,569,180",40.13%,1,YES
1992,Colorado,CO,8,84,62,US President,"Bush, George H.W.",republican,"562,850","1,569,180",35.87%,2,NO
1992,Connecticut,CT,9,16,1,US President,"Clinton, Bill",democrat,"682,318","1,616,156",42.22%,1,YES
1992,Connecticut,CT,9,16,1,US President,"Bush, George H.W.",republican,"578,313","1,616,156",35.78%,2,NO
1992,Delaware,DE,10,51,11,US President,"Clinton, Bill",democrat,"126,054","289,620",43.52%,1,YES
1992,Delaware,DE,10,51,11,US President,"Bush, George H.W.",republican,"102,313","289,620",35.33%,2,NO
1992,District of Columbia,DC,11,53,55,US President,"Clinton, Bill",democrat,"192,619","227,572",84.64%,1,YES
1992,District of Columbia,DC,11,53,55,US President,"Bush, George H.W.",republican,"20,698","227,572",9.10%,2,NO
1992,Florida,FL,12,59,43,US President,"Bush, George H.W.",republican,"2,173,310","5,313,392",40.90%,1,NO
1992,Florida,FL,12,59,43,US President,"Clinton, Bill",democrat,"2,071,698","5,313,392",38.99%,2,YES
1992,Georgia,GA,13,58,44,US President,"Clinton, Bill",democrat,"1,008,966","2,321,133",43.47%,1,YES
1992,Georgia,GA,13,58,44,US President,"Bush, George H.W.",republican,"995,252","2,321,133",42.88%,2,NO
1992,Hawaii,HI,15,95,82,US President,"Clinton, Bill",democrat,"179,310","372,842",48.09%,1,YES
1992,Hawaii,HI,15,95,82,US President,"Bush, George H.W.",republican,"136,822","372,842",36.70%,2,NO
1992,Idaho,ID,16,82,63,US President,"Bush, George H.W.",republican,"202,645","482,114",42.03%,1,NO
1992,Idaho,ID,16,82,63,US President,"Clinton, Bill",democrat,"137,013","482,114",28.42%,2,YES
1992,Illinois,IL,17,33,21,US President,"Clinton, Bill",democrat,"2,453,350","5,050,157",48.58%,1,YES
1992,Illinois,IL,17,33,21,US President,"Bush, George H.W.",republican,"1,734,096","5,050,157",34.34%,2,NO
1992,Indiana,IN,18,32,22,US President,"Bush, George H.W.",republican,"989,375","2,305,871",42.91%,1,NO
1992,Indiana,IN,18,32,22,US President,"Clinton, Bill",democrat,"848,420","2,305,871",36.79%,2,YES
1992,Iowa,IA,19,42,31,US President,"Clinton, Bill",democrat,"586,353","1,354,607",43.29%,1,YES
1992,Iowa,IA,19,42,31,US President,"Bush, George H.W.",republican,"504,891","1,354,607",37.27%,2,NO
1992,Kansas,KS,20,47,32,US President,"Bush, George H.W.",republican,"449,951","1,157,236",38.88%,1,NO
1992,Kansas,KS,20,47,32,US President,"Clinton, Bill",democrat,"390,434","1,157,236",33.74%,2,YES
1992,Kentucky,KY,21,61,51,US President,"Clinton, Bill",democrat,"665,104","1,492,900",44.55%,1,YES
1992,Kentucky,KY,21,61,51,US President,"Bush, George H.W.",republican,"617,178","1,492,900",41.34%,2,NO
1992,Louisiana,LA,22,72,45,US President,"Clinton, Bill",democrat,"815,971","1,790,017",45.58%,1,YES
1992,Louisiana,LA,22,72,45,US President,"Bush, George H.W.",republican,"733,386","1,790,017",40.97%,2,NO
1992,Maine,ME,23,11,2,US President,"Clinton, Bill",democrat,"263,420","679,499",38.77%,1,YES
1992,Maine,ME,23,11,2,US President,"Bush, George H.W.",republican,"206,504","679,499",30.39%,2,NO
1992,Maryland,MD,24,52,52,US President,"Clinton, Bill",democrat,"988,571","1,984,580",49.81%,1,YES
1992,Maryland,MD,24,52,52,US President,"Bush, George H.W.",republican,"707,094","1,984,580",35.63%,2,NO
1992,Massachusetts,MA,25,14,3,US President,"Clinton, Bill",democrat,"1,318,639","2,773,664",47.54%,1,YES
1992,Massachusetts,MA,25,14,3,US President,"Bush, George H.W.",republican,"805,039","2,773,664",29.02%,2,NO
1992,Michigan,MI,26,34,23,US President,"Clinton, Bill",democrat,"1,871,182","4,274,673",43.77%,1,YES
1992,Michigan,MI,26,34,23,US President,"Bush, George H.W.",republican,"1,554,940","4,274,673",36.38%,2,NO
1992,Minnesota,MN,27,41,33,US President,"Clinton, Bill",democrat,"1,020,997","2,347,948",43.48%,1,YES
1992,Minnesota,MN,27,41,33,US President,"Bush, George H.W.",republican,"747,841","2,347,948",31.85%,2,NO
1992,Mississippi,MS,28,64,46,US President,"Bush, George H.W.",republican,"487,793","981,793",49.68%,1,NO
1992,Mississippi,MS,28,64,46,US President,"Clinton, Bill",democrat,"400,258","981,793",40.77%,2,YES
1992,Missouri,MO,29,43,34,US President,"Clinton, Bill",democrat,"1,053,873","2,391,270",44.07%,1,YES
1992,Missouri,MO,29,43,34,US President,"Bush, George H.W.",republican,"811,159","2,391,270",33.92%,2,NO
1992,Montana,MT,30,81,64,US President,"Clinton, Bill",democrat,"154,507","410,583",37.63%,1,YES
1992,Montana,MT,30,81,64,US President,"Bush, George H.W.",republican,"144,207","410,583",35.12%,2,NO
1992,Nebraska,NE,31,46,35,US President,"Bush, George H.W.",republican,"343,678","737,546",46.60%,1,NO
1992,Nebraska,NE,31,46,35,US President,"Clinton, Bill",democrat,"216,864","737,546",29.40%,2,YES
1992,Nevada,NV,32,88,65,US President,"Clinton, Bill",democrat,"189,148","506,318",37.36%,1,YES
1992,Nevada,NV,32,88,65,US President,"Bush, George H.W.",republican,"175,828","506,318",34.73%,2,NO
1992,New Hampshire,NH,33,12,4,US President,"Clinton, Bill",democrat,"209,040","537,215",38.91%,1,YES
1992,New Hampshire,NH,33,12,4,US President,"Bush, George H.W.",republican,"202,484","537,215",37.69%,2,NO
1992,New Jersey,NJ,34,22,12,US President,"Clinton, Bill",democrat,"1,436,206","3,343,594",42.95%,1,YES
1992,New Jersey,NJ,34,22,12,US President,"Bush, George H.W.",republican,"1,356,865","3,343,594",40.58%,2,NO
1992,New Mexico,NM,35,85,66,US President,"Clinton, Bill",democrat,"261,617","569,986",45.90%,1,YES
1992,New Mexico,NM,35,85,66,US President,"Bush, George H.W.",republican,"212,824","569,986",37.34%,2,NO
1992,New York,NY,36,21,13,US President,"Clinton, Bill",democrat,"3,346,894","7,079,432",47.28%,1,YES
1992,New York,NY,36,21,13,US President,"Bush, George H.W.",republican,"2,041,690","7,079,432",28.84%,2,NO
1992,New York,NY,36,21,13,US President,"Bush, George H.W.",conservative,"177,000","7,079,432",2.50%,2,NO
1992,New York,NY,36,21,13,US President,"Bush, George H.W.",right-to-life,"127,959","7,079,432",1.81%,2,NO
1992,New York,NY,36,21,13,US President,"Clinton, Bill",liberal party,"97,556","7,079,432",1.38%,2,YES
1992,North Carolina,NC,37,56,47,US President,"Bush, George H.W.",republican,"1,134,661","2,611,850",43.44%,1,NO
1992,North Carolina,NC,37,56,47,US President,"Clinton, Bill",democrat,"1,114,042","2,611,850",42.65%,2,YES
1992,North Dakota,ND,38,44,36,US President,"Bush, George H.W.",republican,"136,244","308,133",44.22%,1,NO
1992,North Dakota,ND,38,44,36,US President,"Clinton, Bill",democrat,"99,168","308,133",32.18%,2,YES
1992,Ohio,OH,39,31,24,US President,"Clinton, Bill",democrat,"1,984,942","4,939,967",40.18%,1,YES
1992,Ohio,OH,39,31,24,US President,"Bush, George H.W.",republican,"1,894,310","4,939,967",38.35%,2,NO
1992,Oklahoma,OK,40,73,53,US President,"Bush, George H.W.",republican,"592,929","1,390,359",42.65%,1,NO
1992,Oklahoma,OK,40,73,53,US President,"Clinton, Bill",democrat,"473,066","1,390,359",34.02%,2,YES
1992,Oregon,OR,41,92,72,US President,"Clinton, Bill",democrat,"621,314","1,462,643",42.48%,1,YES
1992,Oregon,OR,41,92,72,US President,"Bush, George H.W.",republican,"475,757","1,462,643",32.53%,2,NO
1992,Pennsylvania,PA,42,23,14,US President,"Clinton, Bill",democrat,"2,239,164","4,959,810",45.15%,1,YES
1992,Pennsylvania,PA,42,23,14,US President,"Bush, George H.W.",republican,"1,791,841","4,959,810",36.13%,2,NO
1992,Rhode Island,RI,44,15,5,US President,"Clinton, Bill",democrat,"213,299","453,365",47.05%,1,YES
1992,Rhode Island,RI,44,15,5,US President,"Bush, George H.W.",republican,"131,601","453,365",29.03%,2,NO
1992,South Carolina,SC,45,57,48,US President,"Bush, George H.W.",republican,"577,507","1,228,912",46.99%,1,NO
1992,South Carolina,SC,45,57,48,US President,"Clinton, Bill",democrat,"525,514","1,228,912",42.76%,2,YES
1992,South Dakota,SD,46,45,37,US President,"Bush, George H.W.",republican,"136,718","336,254",40.66%,1,NO
1992,South Dakota,SD,46,45,37,US President,"Clinton, Bill",democrat,"124,888","336,254",37.14%,2,YES
